Krist,Krist
Leandr,虾ᴸᴱ
Oceani,Oceani
Pask,庆ᴾ
Petr,Petr
abak,算盘
abandon,弃ᴬᴰ
abat,院长
abdik,退位
abdomen,腹ᴬ
abel,蜂
aberaci,差
abi,杉
abiogenez,无生源
abism,渊
abnegaci,弃ᴬ
aboc,字ᴬᴮ
abol,废ᴬ
abolici,废ᴬᶜ
abomen,厌ᴬ
abon,订ᴬ
abort,堕
abrazi,磨蚀
abrikot,杏
abrog,废ᴬᴿ
abrogaci,废ᴬᴮ
abrupt,陡ᴬ
absces,脓肿
absid,后殿
absint,苦艾
absolut,绝
absolv,赦ᴬᴮ
absorb,吸ᴬ
abstin,戒
abstrakt,抽
absurd,谬
abund,丰
abutil,草ᴬᴮ
ac,科ᴬ
acer,枫
acet,醋
acetat,醋盐
aci,态ᴬ
acid,酸
acidimetr,酸计
acipenser,鱼ᴬᴾ
ad,行
adapt,适ᴬ
adaptometri,适测
adaĝ,慢ᴬ
adekvat,适ᴬᴰ
aden,腺ᴬ
adenit,腺炎
adenoidit,腺似炎
adenom,腺瘤
adenopati,腺病ᴬᴼ
adenpati,腺病
adept,徒ᴬ
adher,附
adiabat,隔ᴬ
adiant,铁线草
adiaŭ,再见
adici,加ᴬ
adip,脂ᴬ
adipogenez,脂源
adjekt,状
adjektiv,形ᴬ
adjudant,准尉
adjunkt,助ᴬ
adjutant,副官
administr,管ᴬ
administraci,管ᴬᶜ
administrator,管员
admir,佩
admiral,提督
admon,劝
adob,砖ᴬ
adolesk,青春
adolt,成ᴬ
adopt,收ᴬ
ador,拜
adres,址
adstring,涩
adult,奸ᴬ
adverb,副
advers,敌ᴬ
advokat,辩ᴬ
adz,砍ᴬ
aer,气
aeremi,气血
aerobi,气生
aerodrom,气道
aerogram,气图
aerolit,气石
aerolog,气学家
aerologi,气学
aerometr,气计ᴬ
aerometri,气测
aeronaŭt,气航
aeronaŭtik,气航学
aeroplan,气划
aerostat,气态
afabl,善
afazi,失语
afekci,情ᴬ
afekt,装ᴬ
afer,事ᴬ
afid,虫ᴬᶠ
afiks,缀ᴬ
afin,缘ᴬ
afinaci,炼ᴬ
afis,虫ᴬˢ
afiŝ,贴
aflikt,悲
afoni,无声
afrank,贴ᴬᴿ
afrodit,虫ᴬᴰ
afrodizi,催情
aft,疮ᴬ
afust,炮架
ag,办
agac,烦ᴬ
agam,龙ᴬ
agami,鸟ᴬᴳ
agatid,木ᴬᴳ
agav,龙舌兰
agend,办须
agent,代ᴬᴳ
agerat,菊ᴬᴳ
agit,搅
agl,雕
aglomer,团ᴬᴸ
aglutin,胶ᴬ
agnosk,认ᴬ
agnostik,不可知
agnostikism,不可知主义
agoni,垂死
agor,场ᴬ
agorafobi,场症
agord,调ᴬ
agr,农
agrabl,快
agraf,扣ᴬ
agrafi,无志
agreg,团ᴬ
agres,攻ᴬᴳ
agrikultur,农ᴬᴷ
agronom,农学
agronomi,农学ᴬᴵ
aguti,鼠ᴬ
agvara,兽ᴬᴳ
ahims,不害
air,草ᴬᴿ
aizo,草ᴬᶻ
ajapan,菊ᴬᴶ
ajl,蒜
ajn,任
ajug,草ᴬᴶ
ajut,喷嘴
akaci,金合欢
akademi,院ᴬ
akant,草ᴬᴷ
akantias,鱼ᴬᴷ
akantocefal,刺头
akapar,囤ᴬ
akar,虫ᴬ
akaĵu,腰果
akcel,促
akcent,重ᴬ
akcept,受ᴬ
akcesor,副ᴬᴷ
akci,股ᴬ
akcidenc,偶ᴬ
akcident,祸
akcipitr,鹰ᴬ
akciz,税ᴬ
ake,树懒
akebi,木ᴬᴷ
aken,瘦果
akeronti,虫ᴬᴵ
akinezi,无动
akir,获
aklam,欢呼
aklimatiz,气候化
akme,顶ᴬ
akn,痘
akomod,适ᴬᴷ
akompan,伴ᴬ
akonit,草ᴬᴷᴼ
akonti,龙ᴬᴷ
akor,草ᴬᴼ
akord,和ᴬ
akr,锐
akredit,信任
akrid,蝗
akrobat,杂技
akrocefal,锐头
akrocianoz,锐青症
akromat,无色
akronim,锐名
akroĥord,蛇ᴬᴷ
aks,轴
aksel,腋
aksiom,公理
aksiometr,轴计
aksolotl,蛙ᴬᴷ
akt,幕
akte,草ᴬᵀ
aktin,射ᴬ
aktini,海葵
aktinidi,猴桃ᴬ
aktinometr,射计ᴬ
aktinomicet,射菌
aktinoterapi,射疗ᴬ
aktiv,活ᴬ
aktor,演
aktual,现ᴬᴷ
akumul,累
akumulator,蓄电
akurat,准ᴬ
akustik,音ᴬ
akut,锐ᴬᵀ
akuz,诉ᴬ
akuzativ,宾
akuŝ,产ᴬ
akuŝologi,产学
akv,水
akvafort,蚀刻
akvarel,水彩
akvifoli,木ᴬᶠ
al,向
alabastr,雪花石膏
aland,鱼ᴬᴰ
alarm,警ᴬ
alatern,木ᴬᴱ
alaŭd,雀
alb,白袍
albatros,鸟ᴬᴮ
albin,白ᴬ
albizi,木ᴬᴸ
albugine,白膜
albugineit,白膜炎
album,册ᴬ
albumin,白蛋白
albuminuri,白蛋白尿
alburn,白鱼
alce,立葵ᴬᶜ
alced,鸟ᴬᴸ
alcelaf,兽ᴬᴸ
alcion,翠鸟
alcioni,虫ᴬᴸ
ald,中音
ale,林
aleator,偶ᴬᴸ
alegori,寓ᴬᴸ
alegr,快ᴬᴸ
aleksi,失读
aleksin,补ᴬ
alektor,鸟ᴬᴿ
alergi,过敏
alez,钻ᴬ
aleŭrit,木ᴬᴸᴱ
aleŭrod,虫ᴬᵁ̆
alfabet,字ᴬ
alg,藻
algebr,代数
algi,痛ᴬ
algid,冷ᴬ
algiolog,痛学家
algiologi,痛学
algolog,藻学家
algologi,藻学
ali,别
alianc,盟ᴬ
aliari,草ᴬᴬ
alien,让ᴬ
aligator,鳄ᴬ
aliment,养费
aline,换行
alis,草ᴬᴸ
alism,泽泻
alit,蛙ᴬ
aliteraci,头韵
alium,葱ᴬ
aliz,果ᴬᴸ
alize,信风ᴬ
alk,驼鹿
alka,鸟ᴬᴬ
alkal,碱ᴬ
alkaloid,碱似
alkalometri,碱测
alkekeng,茄ᴬ
alkemi,炼金
alkohol,醇
alkoholat,醇盐
alkoholemi,醇血
alkoholometr,醇计
almanak,历书
almenaŭ,至ᴬ
almoz,施
alo,草ᴬ
alofon,异声
aloj,合金
alokazi,草ᴬᴸᴼ
alomorf,异形ᴬᴹ
alopati,异病
alopeci,秃ᴬ
alopekur,草ᴬᴸᴼᴾ
alotrofi,异养
alotrop,异形
aloz,鱼ᴬᴸ
alp,峰
alpini,姜ᴬᴸ
alsin,草ᴬᴸˢ
alt,高
altar,坛ᴬ
alte,立葵
alteraci,蚀变
altern,替
alternativ,替ᴬᵀ
alternator,替具
altimetr,高计
altitud,高ᴬᵀ
altometr,高计ᴬᴼ
altometri,高测
altru,他ᴬ
altruism,他主义
altruist,他家
aluat,猴ᴬᵀ
alud,暗
alumet,柴
alumini,铝
aluminiat,铝盐
alun,矾
aluvi,淤
alveol,槽ᴬ
alveolin,虫ᴬⱽ
alvus,鱼苗
alĥemi,炼金ᴬᴴ̂
am,爱
amalgam,汞齐
amanit,鹅膏
amar,苦ᴬ
amarant,菜ᴬᴹ
amarilid,花ᴬ
amas,堆
amator,好
ambasad,使ᴬ
ambasador,使ᴬᴿ
ambaŭ,两
ambici,志
ambigu,歧义
ambistom,蛙ᴬᴹ
ambl,踱
ambliop,弱视
amblistom,蛙ᴬˢ
ambos,铁床
ambr,龙香
ambulatori,廊ᴬ
ameb,变形虫
ameboid,变形虫似
amel,糊ᴬ
amelanĉ,木ᴬᶜ̂
ameloz,糊糖
amend,改ᴬ
ament,穗ᴬ
americi,金ᴬ
ametist,紫晶
ametrop,屈光
amfibi,两栖
amfibrak,短长短
amfibraĥ,短长短ᴬᴴ̂
amfor,罐
ami,伞ᴬᴹ
amiant,石棉ᴬᴹ
amik,友
amirid,木ᴬᴹ
amnesti,赦
amnezi,忘ᴬ
amni,羊膜
amofil,草ᴬᶠ
amok,狂ᴬ
amom,姜ᴬ
amoniak,氨
amonit,菊石
amor,性ᴬ
amorf,无形
amorfofal,魔芋
amortiz,偿ᴬ
ampelopraz,葱ᴬᴹ
ampleks,广ᴬ
amplif,扩
amplifik,扩ᴬᴷ
amplifikator,扩具
ampol,泡
amput,切ᴬ
amuz,娱
an,员
anabol,合成
anaerobi,无气生
anafor,复ᴬ
anagal,草ᴬᴺ
anagir,木ᴬᴺ
anaglif,雕ᴬᴺ
anakardi,木ᴬᴺᴬᴷ
anakond,蛇ᴬ
anakoret,隐ᴬ
anal,史ᴬ
analfabet,无字
analitik,析ᴬᵀ
analiz,析
analog,似ᴬ
analogi,类ᴬ
anamirt,木ᴬᴺᴬ
anamorfoz,变形
ananas,菠萝
anarik,鱼ᴬᴿ
anark,无政
anarki,无政ᴬᴵ
anarkism,无政主义
anarkist,无政家
anarĥi,无政ᴬᴴ̂
anas,鸭
anastatik,草ᴬᴺᴬ
anastigmat,无散光
anastomoz,吻合
anastrof,倒ᴬ
anatem,咒
anatom,剖
anatomi,剖ᴬᴵ
anchov,鱼ᴬᶜ
ancilostom,钩虫
andant,行ᴬᴺ
andre,苔ᴬ
androgin,雌雄
andromed,木ᴬᴰ
andropogon,草ᴬᴺᴰ
androzac,草ᴬᶜ
anduj,肚肠
anekdot,闻
aneks,并ᴬ
aneksit,并炎
anem,风ᴬ
anemi,贫血
anemogram,风图
anemometr,风计
anemometri,风测
anemon,银莲
aneroid,无液
anestez,无感
anet,伞ᴬ
angelik,伞ᴬᴳ
angi,脉ᴬᴺ
angiit,脉炎ᴬ
angil,鱼ᴬ
angin,咽炎
angiologi,脉学
angiom,血管瘤
angiosperm,脉种
angl,angl
anglikan,圣公
angor,忧
angostur,木ᴬˢ
angrek,兰ᴬ
angul,角
anhel,喘ᴬᴺ
anhidr,无水
anil,草ᴬᴵ
anim,魂
animal,兽ᴬ
aniz,果ᴬ
anizotrop,无等向
ankaŭ,也
ankiloz,关节强直
ankoraŭ,还ᴬ
ankr,锚
anksi,忧虑
anobi,虫ᴬᴺ
anodont,贝ᴬ
anofel,蚊ᴬ
anoksemi,无氧血
anoksi,无氧
anomali,异ᴬ
anon,木ᴬ
anonc,宣
anonim,无名
anopsi,盲ᴬ
ans,柄
anser,鹅
anstataŭ,代
ant,在
antagon,敌ᴬᴺ
antagonism,敌主义
antagonist,敌家
antarkt,南ᴬ
antaŭ,前
antedon,虫ᴬᵀ
anten,触角
antenari,菊ᴬᴺ
anti,抗ᴬ
antiar,木ᴬᵀ
antibiotik,抗生布
anticiklon,抗旋
anticip,预
antifon,抗声
antifraz,抗句
antigen,抗原
antiklinal,背斜
antikorp,抗体
antikorpuskl,抗粒ᴬᴷ
antikv,古
antilid,豆ᴬᴺ
antilop,羚ᴬ
